Sugar Path,Source,Original Path,Modified,Addition,Comment
ACLRoles.png,Oxygen,16x16/categories/applications-engineering.png,no,,
Accounts.png,Oxygen,16x16/places/folder.png,no,,
Activities.png,Oxygen,16x16/actions/view-task.png,no,,
Administration.png,Oxygen,16x16/,yes,,
Bugs.png,Oxygen,16x16/actions/tools-report-bug.png,no,,
Calendar.png,Oxygen,16x16/actions/view-calendar.png,no,,
Contacts.png,Oxygen,16x16/mimetypes/x-office-contact.png,no,,
CreateAccounts.png,Oxygen,16x16/actions/contact-new.png,no,,
CreateBugs.png,Oxygen,16x16/actions/tools-report-bug.png,yes,emblems_add.png,
CreateContacts.png,Oxygen,16x16/actions/folder-new.png,no,,
CreateDocuments.png,Oxygen,16x16/actions/document-new.png,no,,
CreateEmails.png,Oxygen,16x16/actions/mail-message-new.png,no,,
CreateLeads.png,Oxygen,16x16/status/mail-tagged.png,yes,emblems_add.png,
CreateMeetings.png,Oxygen,16x16/actions/view-calendar-upcoming-events.png,yes,emblems_add.png,resize & remove explanation mark in original icon
CreateNotes.png,Oxygen,16x16/actions/view-pim-notes.png,yes,emblems_add.png,
CreateOpportunities.png,Oxygen,16x16/apps/accessories-calculator.png,yes,emblems_add.png,
CreateProject.png,Oxygen,16x16/actions/project-development-new-template.png,no,,
CreateRoles.png,Oxygen,16x16/categories/applications-engineering.png,yes,emblems_add.png,
CreateTasks.png,Oxygen,16x16/actions/view-task-add.png,no,,
CreateUsers.png,Oxygen,16x16/status/meeting-participant.png,yes,emblems_add.png,
Documents.png,Oxygen,16x16/apps/system-file-manager.png,no,,
EmailFolder.png,Oxygen,16x16/places/mail-folder-inbox.png,no,,
Emails.png,Oxygen,16x16/apps/internet-mail.png,no,,
Home.png,Oxygen,16x16/actions/go-home.png,no,,
Import.png,Oxygen,16x16/actions/document-import.png,no,,
Leads.png,Oxygen,16x16/status/mail-tagged.png,no,,
Meetings.png,Oxygen,16x16/actions/view-calendar-upcoming-events.png,yes,,remove explanation mark in original icon
Notes.png,Oxygen,16x16/actions/view-pim-notes.png,no,,
Opportunities.png,Oxygen,16x16/apps/accessories-calculator.png,no,,
Project.png,Oxygen,16x16/actions/project-development.png,no,,
Roles.png,Oxygen,16x16/categories/applications-engineering.png,no,,
Tasks.png,Oxygen,16x16/actions/view-task.png,no,,
Users.png,Oxygen,16x16/status/meeting-participant.png,no,,
help.png,Oxygen,32x32/apps/help-browser.png,no,,
icon_Accounts_32.png,Oxygen,32x32/places/folder.png,no,,
icon_Activities_32.png,Oxygen,32x32/actions/view-task.png,no,,
icon_Bugs_32.png,Oxygen,32x32/actions/tools-report-bug.png,no,,
icon_Contacts_32.png,Oxygen,32x32/mimetypes/x-office-contact.png,no,,
icon_Documents_32.png,Oxygen,32x32/apps/system-file-manager.png,no,,
icon_Emails_32.png,Oxygen,32x32/apps/internet-mail.png,no,,
icon_Leads_32.png,Oxygen,32x32/status/mail-tagged.png,no,,
icon_Meetings_32.png,Oxygen,32x32/actions/view-calendar-upcoming-events.png,no,,
icon_Notes_32.png,Oxygen,32x32/actions/view-pim-notes.png,no,,
icon_Opportunities_32.png,Oxygen,32x32/apps/accessories-calculator.png,no,,
icon_Project_32.png,Oxygen,32x32/actions/project-development.png,no,,
icon_Tasks_32.png,Oxygen,32x32/actions/view-task.png,no,,
icon_Users_32.png,Oxygen,32x32/status/meeting-participant.png,yes,,remove explanation mark in original icon
jscalendar.png,Oxygen,16x16/apps/office-calendar.png,no
print.png,Oxygen,32x32/devices/printer.png,no
